제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
쓰리 몬스터,"프루트 챈, 미이케 다카시, 박찬욱","한국, 홍콩, 일본",2004-08-20,공포(호러),165615,1065356000
헬보이,길예르모 델 토로,미국,2004-08-20,SF,108946,699350000
터미널,스티븐 스필버그,미국,2004-08-27,드라마,963266,6223737500
프레디 대 제이슨-13일의 금요일11,우인태,미국,2004-08-27,공포(호러),34652,222921000
가족,이정철,한국,2004-09-03,드라마,1260717,7989199500
돈 텔 파파,이상훈,한국,2004-09-03,코미디,507083,3166358500
에이리언 VS 프레데터,폴 W.S. 앤더슨,미국,2004-09-03,SF,180395,1150069500
퀸카로 살아남는 법,마크 S. 워터스,미국,2004-09-03,코미디,79676,518106500
거미숲,송일곤,한국,2004-09-03,"미스터리, 범죄",60482,393159000
연인,장예모,중국,2004-09-10,"멜로/로맨스, 액션",1010742,6539823000
귀신이 산다,김상진,한국,2004-09-17,"코미디, 공포(호러), 판타지",1870319,11863951000
80일간의 세계 일주,프랑코 코라시,미국,2004-09-17,"코미디, 드라마, 어드벤처, 액션",469656,2969522500
슈퍼스타 감사용,김종현,한국,2004-09-17,드라마,612525,3983054000
꽃피는 봄이 오면,류장하,한국,2004-09-23,드라마,495187,3187049500
빌리지,M. 나이트 샤말란,미국,2004-09-24,공포(호러),364594,2414736500
캣우먼,피토프,미국,2004-09-24,액션,173974,1141818500
맨 온 파이어,토니 스콧,미국,2004-09-24,액션,294896,1902098500
스텝포드 와이프,프랭크 오즈,미국,2004-10-01,코미디,162295,1076576500
우리 형,안권태,한국,2004-10-08,드라마,1772880,11055687000
세상의 중심에서 사랑을 외치다,유키사다 이사오,일본,2004-10-08,멜로/로맨스,311845,1990503000
콜래트럴,마이클 만,미국,2004-10-15,액션,568727,3703083000
2046,왕가위,홍콩,2004-10-15,드라마,104994,679843500
빈집,김기덕,한국,2004-10-15,드라마,66979,427619500
S 다이어리,권종관,한국,2004-10-22,코미디,1081092,6916142000
썸,장윤현,한국,2004-10-22,스릴러,232847,1458883500
비포 선셋,리차드 링클레이터,미국,2004-10-22,드라마,87214,585295000
21 그램,알레한드로 곤잘레스 이냐리투,미국,2004-10-23,드라마,54152,355718000
주홍글씨,변혁,한국,2004-10-29,"스릴러, 멜로/로맨스",1017527,6567997500
이프 온리,길 정거,미국,2004-10-29,"멜로/로맨스, 판타지",986902,6539543500
프린세스 다이어리 2,게리 마샬,미국,2004-10-29,멜로/로맨스,113516,701125500
내 머리 속의 지우개,이재한,한국,2004-11-05,멜로/로맨스,1878294,11874090000
레지던트 이블 2-아포칼립스,알렉산더 윗,미국,2004-11-05,액션,343017,2237383500
완벽한 그녀에게 딱 한가지 없는 것,게리 위닉,미국,2004-11-05,코미디,42964,275533000
쉘 위 댄스,피터 첼섬,미국,2004-11-12,드라마,74877,495861500
사랑에 빠지는 아주 특별한 법칙,피터 호윗,아일랜드,2004-11-12,멜로/로맨스,45231,299435000
모터사이클 다이어리,월터 살레스,영국,2004-11-12,드라마,26998,174158000
여선생 VS 여제자,장규성,한국,2004-11-17,코미디,840243,5228068506
나비효과,"에릭 브레스, J. 마키에 그러버",미국,2004-11-12,드라마,943700,6174494500
하나와 앨리스,이와이 슌지,일본,2004-11-17,드라마,84915,535573500
엑소시스트: 더 비기닝,레니 할린,미국,2004-11-17,공포(호러),71391,469014500
화이트 칙스,키넌 아이보리 웨이언스,미국,2004-11-17,코미디,36521,229061500
노트북,닉 카사베츠,미국,2004-11-26,멜로/로맨스,816180,6244402340
택시: 더 멕시멈,팀 스토리,미국,2004-11-17,액션,109061,687932000
"DMZ, 비무장지대",이규형,한국,2004-11-26,"드라마, 전쟁",88321,569482000
귀여워,김수현,한국,2004-11-26,"드라마, 코미디",33391,216259000
포가튼,조셉 루벤,미국,2004-12-03,스릴러,196890,1274726000
까불지마,오지명,한국,2004-12-03,드라마,141235,910084000
발레 교습소,변영주,한국,2004-12-03,드라마,82568,503175500
오페라의 유령,조엘 슈마허,미국,2004-12-08,"뮤지컬, 드라마",1517913,9669369000
브리짓 존스의 일기2 : 열정과 애정,비번 키드론,영국,2004-12-08,"멜로/로맨스, 드라마",1109235,7202274000
역도산,송해성,한국,2004-12-15,드라마,994873,6332405000
블레이드 3,데이빗 S. 고이어,미국,2004-12-15,액션,703229,4573433000
인크레더블,브래드 버드,미국,2004-12-15,애니메이션,861338,5378607000
엘프,존 파브로,미국,2004-12-15,코미디,52359,320576500
하울의 움직이는 성,미야자키 하야오,일본,2004-12-23,애니메이션,2609628,16459721617
폴라 익스프레스,로버트 저메키스,미국,2004-12-23,애니메이션,286551,1801387500
여고생 시집가기,오덕환,한국,2004-12-23,코미디,40924,252704500
서바이빙 크리스마스,마이크 미첼,미국,2004-12-24,코미디,23102,148832500
알렉산더,올리버 스톤,미국,2004-12-31,"전쟁, 드라마",1251270,7969745289
내셔널 트레져,존 터틀타웁,미국,2004-12-31,액션,1132477,7271874000
신석기 블루스,김도혁,한국,2004-12-30,코미디,257558,1640640000
샤크,"비키 젠슨, 롭 레터맨",미국,2005-01-07,"애니메이션, 코미디",893045,5551434000
오션스 트웰브,스티븐 소더버그,"호주, 미국",2005-01-07,"범죄, 코미디",769887,4987708000
몽정기2,정초신,한국,2005-01-14,코미디,802712,5044425000
쿵푸 허슬,주성치,중국,2005-01-14,코미디,820994,5292961000
키다리 아저씨,공정식,한국,2005-01-14,드라마,436973,2766454000
월드 오브 투모로우,케리 코란,미국,2005-01-14,SF,326694,2100460500
뉴 폴리스 스토리,진목승,홍콩,2005-01-21,액션,336882,2111232000
엘렉트라,롭 보우먼,미국,2005-01-21,액션,164162,1070588000
공공의 적 2,강우석,한국,2005-01-27,드라마,3123600,20022519500
말아톤,정윤철,한국,2005-01-27,드라마,4155296,26034613500
레모니 스니켓의 위험한 대결,브래드 실버링,미국,2005-01-28,코미디,744972,4643510500
B형 남자친구,최석원,한국,2005-02-03,코미디,1121897,7005258500
그때 그 사람들,임상수,한국,2005-02-03,"미스터리, 코미디",866750,5624003000
클로저,마이크 니콜스,미국,2005-02-03,"멜로/로맨스, 드라마",206786,1357699000
피닉스,존 무어,미국,2005-02-04,액션,49302,316064500
콘스탄틴,프란시스 로렌스,미국,2005-02-08,"드라마, 액션, 스릴러, 판타지",1729635,11122425500
마더 데레사,파브리지오 코스타,이탈리아,2005-01-21,드라마,50851,300772000
파송송 계란탁,오상훈,한국,2005-02-18,코미디,993352,6232845500
에비에이터,마틴 스코세이지,독일,2005-02-18,"드라마, 어드벤처, 멜로/로맨스",582513,3742326500
"제니, 주노",김호준,한국,2005-02-18,드라마,189323,1121322500
레드 아이,김동빈,한국,2005-02-18,공포(호러),175625,1092776500
숨바꼭질,존 폴슨,미국,2005-02-25,"드라마, 공포(호러), 스릴러",682248,4345401500
네버랜드를 찾아서,마크 포스터,미국,2005-02-25,드라마,178534,1147688500
나인 야드 2,하워드 더치,미국,2005-02-24,코미디,97498,622588500
레이,테일러 핵포드,미국,2005-02-25,드라마,207963,1374983500
코러스,크리스토퍼 파라티에,프랑스,2005-03-03,드라마,62742,404028000
마파도,추창민,한국,2005-03-10,코미디,2618070,16633378003
밀리언 달러 베이비,클린트 이스트우드,미국,2005-03-10,드라마,707253,4560094179
Mr.히치: 당신을 위한 데이트 코치,앤디 테넌트,미국,2005-03-11,"멜로/로맨스, 코미디",572478,3728940000
쏘우,제임스 완,미국,2005-03-10,"스릴러, 공포(호러)",235032,1516896500
잠복근무,박광춘,한국,2005-03-17,"코미디, 액션",1518037,9500011000
호스티지,플로렝 에밀리오 시리,미국,2005-03-18,스릴러,358062,2284340003
"여자, 정혜",이윤기,한국,2005-03-10,드라마,32044,208513500
"지금, 만나러 갑니다",도이 노부히로,일본,2005-03-25,"드라마, 멜로/로맨스, 판타지",129361,806913000
윔블던,리차드 론크레인,영국,2005-03-25,드라마,55831,367959000
래더 49,제이 러셀,미국,2005-03-25,드라마,27764,175131500
주먹이 운다(Crying Fist),류승완,한국,2005-04-01,드라마,1458473,9295771000
달콤한 인생,김지운,한국,2005-04-01,액션,1105198,7185826000
미스 에이전트2 : 라스베가스 잠입사건,존 파스킨,미국,2005-04-01,"액션, 코미디",131149,837949000
유희왕,츠지 하츠키,일본,2010-01-28,"애니메이션, 액션, 어드벤처",102784,506442000
엄마,구성주,한국,2005-04-07,드라마,154807,939877000
블랙아웃,필립 카우프만,독일,2005-04-07,스릴러,106397,680799000
화이트 노이즈,제프리 삭스,미국,2005-04-08,"공포(호러), 미스터리, 스릴러",27811,179999000
역전의 명수,박흥식,한국,2005-04-15,코미디,507882,3208178500
미트 페어런츠2,제이 로치,미국,2005-04-15,코미디,234051,1523359500
아나콘다2 : 사라지지 않는 저주,드와이트 H. 리틀,미국,2005-04-15,공포(호러),74816,462991500
어바웃 러브,존 헤이,영국,2005-04-21,드라마,316264,2058679500
인터프리터,시드니 폴락,영국,2005-04-22,"드라마, 스릴러",267548,1723908000
댄서의 순정,박영훈,한국,2005-04-28,드라마,1846350,11610810500
트리플 X2 : 넥스트 레벨,리 타마호리,미국,2005-04-29,"범죄, 액션, 스릴러, 어드벤처",463743,2941773500
착신아리2,츠카모토 렌페이,일본,2005-04-29,공포(호러),289460,1771179500
혈의 누,김대승,한국,2005-05-04,스릴러,1900798,12197117006
킹덤 오브 헤븐,리들리 스콧,미국,2005-05-04,액션,1209213,7642330000
밀리언즈,대니 보일,영국,2005-05-04,"코미디, 드라마",164730,1007757000
코치 카터,토머스 카터,미국,2005-05-13,드라마,59881,372030000
킨제이 보고서,빌 콘돈,미국,2005-05-13,드라마,27959,179288500
남극일기,임필성,한국,2005-05-19,스릴러,869512,5466614000
연애술사,천세환,한국,2005-05-20,"멜로/로맨스, 코미디",1007705,6340995000
하우스 오브 왁스,자움 세라,미국,2005-05-20,공포(호러),192020,1245216500
"우리, 사랑일까요?",나이젤 콜,미국,2005-05-20,"드라마, 코미디, 멜로/로맨스",115702,750531500
스타워즈 에피소드3 - 시스의복수,조지 루카스,미국,2005-05-26,SF,1449449,9227800500
"안녕, 형아",임태형,한국,2005-05-27,드라마,918547,5581639000
그루지,시미즈 다카시,일본,2005-05-26,공포(호러),551416,3403095000
pm 11:14,그레그 마크스,미국,2005-06-02,"드라마, 스릴러, 범죄, 코미디",224447,1443086000
링2(2005),나카타 히데오,미국,2005-06-03,공포(호러),173612,1085452503
패시파이어,아담 쉥크만,미국,2005-06-03,"액션, 코미디",58333,369480500
연애의 목적,한재림,한국,2005-06-10,"드라마, 코미디, 멜로/로맨스",1428430,9216001390
간 큰 가족,조명남,한국,2005-06-09,코미디,1237480,7797612393
미스터 & 미세스 스미스,더그 라이만,미국,2005-06-16,"멜로/로맨스, 액션, 어드벤처, 스릴러",2957303,18862683500
텍사스 전기톱 연쇄살인사건,마커스 니스펠,미국,2005-06-16,공포(호러),200662,1287085000
2005 [통합]패키지영화,,기타, ,,224707,1561962000
배트맨 비긴즈,크리스토퍼 놀란,미국,2005-06-24,"범죄, 액션, 판타지",901342,5786789020
사하라,브렉 에이즈너,미국,2005-06-24,"액션, 어드벤처",358981,2290315500
분홍신,김용균,한국,2005-06-30,공포(호러),1052445,6639066500
씬 시티,"프랭크 밀러, 쿠엔틴 타란티노",미국,2005-06-30,"범죄, 스릴러, 액션",305033,1984434506
셔터,팍품 웡품,태국,2005-06-30,공포(호러),287045,1802732000
아미티빌 호러,앤드류 더글라스,미국,2005-07-01,공포(호러),47470,306033500
우주전쟁,스티븐 스필버그,미국,2005-07-07,"드라마, 액션, SF, 스릴러",2634395,16705619190
마다가스카,"에릭 다넬, 톰 맥그라스",미국,2005-07-14,"애니메이션, 코미디, 어드벤처",1376138,8564508500
천군,민준기,한국,2005-07-15,액션,929044,5827457500
여고괴담 4 : 목소리,최익환,한국,2005-07-15,공포(호러),393569,2452349500
어썰트 13,장-프랑소와 리셰,미국,2005-07-07,"공포(호러), 액션, 드라마, 범죄",83016,530481500
아일랜드,마이클 베이,미국,2005-07-21,"SF, 드라마, 액션, 스릴러",3197261,20223741000
샤크보이와 라바걸의 모험 : 3-D,로버트 로드리게즈,미국,2005-07-21,"SF, 액션, 판타지, 가족",21016,124659000
친절한 금자씨,박찬욱,한국,2005-07-29,스릴러,3079279,20215625393
스텔스,롭 코헨,미국,2005-07-28,"액션, 어드벤처, 스릴러",526634,3327571000
로봇(애니),카를로스 살다나,미국,2005-07-28,코미디,607794,3653729500
부기맨,스테판 케이,미국,2005-07-28,공포(호러),72180,448993500
웰컴 투 동막골,박광현,한국,2005-08-04,"전쟁, 드라마",6413223,40180937500
발리언트(애니),게리 채프먼,영국,2005-08-05,코미디,118495,709997000
박수칠 때 떠나라,장진,한국,2005-08-11,"드라마, 코미디, 미스터리",2063656,13118633500
판타스틱4,팀 스토리,미국,2005-08-11,"액션, SF, 판타지",507699,3173403500
가발,원신연,한국,2005-08-12,공포(호러),409483,2575393000
"이대로, 죽을 순 없다(Short Time)",이영은,한국,2005-08-18,코미디,666913,4189421000
옹박 : 두번째 미션,프라챠 핀카엡,태국,2005-08-18,액션,296190,1843476500
첼로-홍미주 일가 살인사건,이우철,한국,2005-08-18,공포(호러),153169,953072000
그녀는 요술쟁이,노라 에프론,미국,2005-08-25,"코미디, 멜로/로맨스, 판타지",228046,1457858500
애프터 선셋,브렛 래트너,미국,2005-08-25,코미디,269021,1675249500
인 굿 컴퍼니,폴 웨이츠,미국,2005-08-26,"코미디, 드라마",174110,1138293500
크림슨 리버2,올리비에 다한,"프랑스, 영국, 이탈리아",2005-09-01,"범죄, 액션",137197,861542000
게스후,케빈 로드니 설리반,미국,2005-09-02,코미디,119486,769606000
형사 Duelist,이명세,한국,2005-09-08,"멜로/로맨스, 액션",900483,5716642500
랜드 오브 데드,조지 A. 로메로,미국,2005-09-02,"공포(호러), 액션, 스릴러",62235,404152000
가문의 위기,정용기,한국,2005-09-07,코미디,4508292,28485712000
외출,허진호,한국,2005-09-07,멜로/로맨스,665420,4292733000
나이트 플라이트,웨스 크레이븐,미국,2005-09-09,"스릴러, 액션",293075,1895479500
신데렐라맨,론 하워드,미국,2005-09-15,드라마,350385,2222300500
너는 내 운명,박진표,한국,2005-09-23,멜로/로맨스,2659825,17382891000
찰리와 초콜릿 공장,팀 버튼,미국,2005-09-16,"코미디, 가족, 판타지",1227801,7511913003
더 독,루이스 리테리어,프랑스,2005-09-16,"액션, 스릴러",295799,1866318500
미스터 주부퀴즈왕,유선동,한국,2005-09-30,코미디,315370,1972572000
내 생애 가장 아름다운 일주일,민규동,한국,2005-10-07,멜로/로맨스,2269939,14576101500
강력 3반,손희창,한국,2005-09-29,액션,808897,4939380000
칠검,서극,홍콩,2005-09-29,액션,264797,1699086000
날 미치게하는 남자,"바비 패럴리, 피터 패럴리",미국,2005-10-07,"코미디, 멜로/로맨스, 드라마",73916,445104000
사랑니,정지우,한국,2005-09-29,멜로/로맨스,131646,843448500
신화 : 진시황릉의 비밀,당계례,홍콩,2005-10-13,"액션, 어드벤처, 판타지",443587,2761428500
당신이 사랑하는 동안에,폴 맥기건,미국,2005-10-13,"드라마, 멜로/로맨스, 스릴러",119970,776305000
4 브라더스,존 싱글톤,미국,2005-10-14,"액션, 드라마, 범죄",52353,343836000
새드무비,권종관,한국,2005-10-20,드라마,886670,5536840500
케이브,브루스 헌트,독일,2005-10-20,드라마,201335,1275021000
베니스의 상인,마이클 래드포드,이탈리아,2005-10-20,드라마,116090,695764500
트랜스포터 엑스트림,루이스 리테리어,미국,2005-10-20,액션,57625,371211000
야수와 미녀,이계벽,한국,2005-10-27,코미디,1320043,8256875000
오로라 공주,방은진,한국,2005-10-27,"범죄, 스릴러",774324,4998821500
레전드 오브 조로,마틴 캠벨,미국,2005-10-28,액션,270165,1689727500
퍼펙트 웨딩(몬스터 인 로),로버트 루게틱,미국,2005-10-20,코미디,106637,677027000
유령신부(애니),"팀 버튼, 마이크 존슨",영국,2005-11-03,"애니메이션, 드라마, 멜로/로맨스, 판타지",413811,2618287000
"사랑해, 말순씨",박흥식,한국,2005-11-03,드라마,323670,2034973500
월래스와 그로밋 : 거대토끼의 저주,"닉 파크, 스티브 박스",영국,2005-11-04,"애니메이션, 코미디, 가족, 어드벤처",289701,1794640500
40살까지 못해본 사람,주드 아패토우,미국,2005-11-04,"코미디, 멜로/로맨스, 드라마",35899,234841500
미스터 소크라테스,최진원,한국,2005-11-10,액션,1063012,6746152000
플라이트 플랜,로베르트 슈벤트케,미국,2005-11-18,드라마,681062,4305327000
"소년, 천국에 가다",윤태용,한국,2005-11-11,드라마,201269,1221924500
이터널 선샤인,미셸 공드리,미국,2005-11-10,멜로/로맨스,411303,3092214500
그림형제 : 마르바덴 숲의 전설,테리 길리엄,미국,2005-11-17,"판타지, 가족, 어드벤처",719743,4564547500
무영검,김영준,한국,2005-11-18,액션,517660,3293824500
로드 오브 워,앤드류 니콜,미국,2005-11-18,"액션, 드라마, 범죄, 스릴러",99171,621946500
엘리자베스타운,카메론 크로우,미국,2005-11-18,"코미디, 드라마, 멜로/로맨스",51885,343386000
광식이 동생 광태,김현석,한국,2005-11-23,코미디,2018197,12768581009
나의 결혼원정기,황병국,한국,2005-11-23,드라마,632473,3859676500
도쿄타워,미나모토 타카시,일본,2005-11-23,드라마,32516,211045500
해리 포터와 불의 잔,마이크 뉴웰,미국,2005-12-01,"액션, 판타지",3494937,22054759400
6월의 일기,임경수,한국,2005-12-01,"드라마, 범죄",593396,3643223500
저스트 라이크 헤븐,마크 S. 워터스,미국,2005-12-01,"코미디, 멜로/로맨스",238328,1547895000
둠,안드레이 바르코비악,미국,2005-12-02,"액션, 공포(호러), SF",21321,138643500
프라임 러브,벤 영거,미국,2005-12-08,"코미디, 멜로/로맨스",209036,1303284000
애인,김태은,한국,2005-12-08,멜로/로맨스,96465,612396000
태풍,곽경택,한국,2005-12-14,"드라마, 액션",3456331,22114691300
킹콩,피터 잭슨,미국,2005-12-14,"드라마, 어드벤처",3441206,21297631900
"우리, 사랑해도 되나요?",토마스 베주차,미국,2005-12-15,"멜로/로맨스, 드라마, 코미디",62780,405952500
작업의 정석,오기환,한국,2005-12-21,코미디,1846581,11660380100
파랑주의보,전윤수,한국,2005-12-22,드라마,234338,1436262000
왕의 남자,이준익,한국,2005-12-29,드라마,10489308,65866410400
"나니아 연대기-사자,마녀 그리고 옷장",앤드류 아담슨,미국,2005-12-29,"가족, 어드벤처, 판타지",2152416,13136434000
청연,윤종찬,한국,2005-12-29,드라마,480760,3007402400
싸움의 기술,신한솔,한국,2006-01-05,코미디,1110115,7100516000
퍼햅스 러브,"진가신, 진가상",홍콩,2006-01-05,뮤지컬,82190,523444000
야수,김성수,한국,2006-01-12,액션,834937,5326031000
당신이 그녀라면,커티스 핸슨,미국,2006-01-12,"코미디, 드라마",43612,277342500
투사부일체,김동원,한국,2006-01-19,코미디,4997745,31474767000
홀리데이,양윤호,한국,2006-01-19,"드라마, 스릴러, 범죄",1155175,7248315000
투 브라더스,장 자끄 아노,"프랑스, 영국",2006-01-20,"드라마, 가족, 어드벤처",142389,860737500
무극,첸 카이거,중국,2006-01-26,"멜로/로맨스, 액션, 판타지",645249,4055091000
사랑을 놓치다,추창민,한국,2006-01-26,"멜로/로맨스, 드라마",458517,2896581000
치킨리틀,마크 딘달,미국,2006-01-26,"애니메이션, 코미디, 어드벤처",447357,2671558000
게이샤의 추억,롭 마샬,미국,2006-02-02,드라마,795036,4999893000
내니맥피-우리 유모는 마법사,커크 존스,영국,2006-02-03,"코미디, 가족",193439,1165344500
흡혈형사 나도열,이시명,한국,2006-02-09,"코미디, 드라마",1559301,9667183800
뮌헨,"스티븐 스필버그, 크리스토프 데아크",미국,2006-02-10,"스릴러, 드라마, 범죄",717927,4571113500
백만장자의 첫사랑,김태균,한국,2006-02-09,"멜로/로맨스, 코미디",535371,3213511000
폭풍우 치는 밤에,스기이 기사부로,일본,2006-02-09,애니메이션,234955,1351114500
구세주,김정우,한국,2006-02-16,"코미디, 액션, 멜로/로맨스",1612280,10032181200
쏘우 2,대런 린 보우즈만,미국,2006-02-16,"공포(호러), 스릴러",381898,2436547400
파이어월,리차드 론크레인,미국,2006-02-17,"액션, 스릴러, 범죄",82174,528711000
음란서생,김대우,한국,2006-02-23,"사극, 코미디",2297550,14900783300
언더월드2 - 에볼루션,렌 와이즈먼,미국,2006-02-23,"액션, 공포(호러), 판타지",543921,3479122500
손님은 왕이다,오기현,한국,2006-02-23,"드라마, 범죄, 미스터리",143128,914385700
웨딩 크래셔,데이빗 돕킨,미국,2006-03-01,코미디,241086,1529283400
브로크백 마운틴,이안,미국,2006-03-01,드라마,146373,948631500
데이지,유위강,"한국, 네덜란드, 홍콩",2006-03-09,멜로/로맨스,901868,5694319300
앙코르,제임스 맨골드,미국,2006-03-09,드라마,165242,1059458800
여교수의 은밀한 매력,이하,한국,2006-03-16,코미디,601621,3892732800
방과후 옥상,이석훈,한국,2006-03-16,코미디,766125,4776254500
로망스,문승욱,한국,2006-03-16,멜로/로맨스,328911,2108073300
브이 포 벤데타,제임스 맥티그,미국,2006-03-16,액션,421647,2715463800
청춘만화,이한,한국,2006-03-23,"코미디, 멜로/로맨스",1549089,9671450500
오만과 편견,조 라이트,미국,2006-03-24,"멜로/로맨스, 드라마",865702,5407648900
무인 곽원갑,우인태,중국,2006-03-23,액션,280584,1754983200
뻔뻔한 딕&제인,딘 패리소트,미국,2006-03-30,"코미디, 범죄",474970,2980181100
원초적 본능 2,"프레드 올렌 레이, 마이클 카튼-존스",미국,2006-03-30,스릴러,292387,1866874200
카리스마 탈출기,권남기,한국,2006-03-30,코미디,63227,393693100
시리아나,스티븐 개건,미국,2006-03-30,"스릴러, 드라마",55761,357061900
"달콤, 살벌한 연인",손재곤,한국,2006-04-06,"스릴러, 멜로/로맨스",2065433,13346093600
빨간모자의 진실,"토니 리치, 코리 에드워즈, 토드 에드워즈",미국,2006-04-06,"애니메이션, 코미디",914278,5498141600
크래쉬,폴 해기스,미국,2006-04-06,"드라마, 범죄, 미스터리",123422,784839400
에디슨 시티,데이비드 J. 버크,미국,2006-04-06,액션,62427,390272500
달콤한 백수와 사랑만들기,톰 듀이,미국,2006-04-07,"멜로/로맨스, 코미디",43260,287391000
드리머,존 개틴스,미국,2006-04-13,드라마,143754,874175900
엑소시즘 오브 에밀리 로즈,스콧 데릭슨,미국,2006-04-13,공포(호러),87846,545914400
연리지,김성중,한국,2006-04-13,"멜로/로맨스, 드라마",80705,488192200
매치 포인트,우디 알렌,"영국, 미국",2006-04-13,"멜로/로맨스, 드라마",64990,432213600
사생결단,최호,한국,2006-04-27,액션,1716901,10883749600
맨발의 기봉이,권수경,한국,2006-04-26,"드라마, 코미디, 가족",1988117,12140210400
도마뱀,강지은,한국,2006-04-27,"멜로/로맨스, 드라마",361496,2287748200
인사이드 맨,스파이크 리,미국,2006-04-21,"드라마, 범죄",262689,1674501700
식스틴블럭,리차드 도너,미국,2006-04-20,"액션, 범죄",251296,1595793500
원피스 - 기계태엽성의 메카거병,우다 코우노스케,일본,2006-10-26,"애니메이션, 코미디",555726,3278762000
아이스 에이지 2,카를로스 살다나,미국,2006-04-20,"애니메이션, 코미디, 어드벤처",232768,1460364400
미션 임파서블 3,J.J. 에이브럼스,미국,2006-05-03,액션,5119669,32108973900
국경의 남쪽,안판석,한국,2006-05-04,드라마,226133,1424212800
개구리중사 케로로,사토 준이치,일본,2006-05-04,"애니메이션, 코미디",47803,278356000
파이널 데스티네이션,제임스 왕,미국,2006-05-11,"공포(호러), 드라마",353924,2263936700
공필두,공정식,한국,2006-05-11,코미디,156627,936846600
안소니 짐머,제롬 샬레,프랑스,2006-05-11,스릴러,18536,119301600
다빈치 코드,론 하워드,미국,2006-05-18,"미스터리, 스릴러",2993922,18689786600
가족의 탄생,김태용,한국,2006-05-18,드라마,189785,1150594700
짝패,류승완,한국,2006-05-25,액션,1007490,6494487500
호로비츠를 위하여,권형진,한국,2006-05-25,드라마,435826,2648878100
"생, 날선생",김동욱,한국,2006-05-25,코미디,218912,1338379600
행운을 돌려줘!,도날드 페트리,미국,2006-05-25,"멜로/로맨스, 코미디",23989,150503700
포세이돈,볼프강 페터젠,미국,2006-05-31,"액션, 드라마, 스릴러",2295241,14476110800
헷지,"팀 존슨, 캐리 커크패트릭",미국,2006-05-31,"애니메이션, 코미디",824345,4967191600
모노폴리,이항배,한국,2006-06-01,범죄,353346,2166683600
구타유발자들,원신연,한국,2006-05-31,"코미디, 범죄",139687,912495300
오멘,존 무어,미국,2006-06-06,공포(호러),271920,1729593600
환생,시미즈 다카시,일본,2006-06-08,공포(호러),318057,1935090900
엑스맨 : 최후의 전쟁,브렛 래트너,미국,2006-06-15,"SF, 액션",1788914,11248109200
비열한 거리,유하,한국,2006-06-15,"액션, 범죄, 드라마",1805361,11505961200
강적,조민호,한국,2006-06-22,"액션, 드라마",317398,1952397500
착신아리 파이널,아소 마나부,"일본, 한국",2006-06-22,공포(호러),237877,1477986900
럭키 넘버 슬레븐,폴 맥기건,미국,2006-06-22,"스릴러, 범죄",356117,2207907400
이온 플럭스,캐린 쿠사마,미국,2006-06-22,액션,45256,285973100
수퍼맨 리턴즈,브라이언 싱어,미국,2006-06-28,"SF, 액션, 판타지",1677330,10654663400
아랑,안상훈,한국,2006-06-28,공포(호러),932587,5610866300
아치와 씨팍,조범진,한국,2006-06-28,"애니메이션, 코미디, 액션, SF, 범죄",96630,617781800
하프 라이트,크레이그 로젠버그,미국,2006-06-28,스릴러,35310,220665000
캐리비안의 해적 : 망자의 함,고어 버빈스키,미국,2006-07-06,"액션, 코미디, 어드벤처, 판타지",3898341,23747857500
아파트,안병기,한국,2006-07-06,공포(호러),529373,3390717900
파이스토리,"베이커 하워드 E., 폭스 존, 이경호","한국, 미국",2006-07-06,"애니메이션, 가족",224002,1286008500
한반도,강우석,한국,2006-07-13,"드라마, 액션",3296716,20378712500
얼음왕국 : 북극의 여름이야기(다큐),"티에리 피안타니다, 티에리 라고베르트","프랑스, 캐나다",2006-07-13,다큐멘터리,27796,166025500
카,존 라세터,미국,2006-07-20,"애니메이션, 액션, 코미디",562821,3222938000
패스트 앤 퓨리어스 도쿄 드리프트,저스틴 린,미국,2006-07-20,"액션, 범죄",165653,1015245000
울트라바이올렛,커트 위머,미국,2006-07-20,"액션, SF",90370,562467500
포켓몬 레인저와 바다의 왕자 마나피,유야마 쿠니히코,일본,2006-07-20,"애니메이션, 어드벤처",159704,920424200
괴물,봉준호,한국,2006-07-27,"SF, 가족, 드라마",10892305,66569033800
유실물,후루사와 다케시,일본,2006-07-27,공포(호러),247912,1513868500
가필드 2,팀 힐,미국,2006-07-27,"애니메이션, 코미디",165164,935018600
2월 29일 - 어느날 갑자기 첫번째 이야기,정종훈,한국,2006-07-21,공포(호러),53216,332301000
스승의 은혜,임대웅,한국,2006-08-03,공포(호러),546192,3448516000
플라이 대디,최종태,한국,2006-08-03,드라마,389524,2311969800
네번째 층 - 어느날 갑자기 두번째 이야기,권호영,한국,2006-07-27,공포(호러),30047,185946000
몬스터 하우스,길 키넌,미국,2006-08-10,"공포(호러), 코미디, 애니메이션",1004700,6273367000
다세포소녀,이재용,한국,2006-08-10,"코미디, 멜로/로맨스",462289,2775995000
각설탕,이환경,한국,2006-08-10,드라마,1253826,7564388700
게드전기 : 어스시의 전설,미야자키 고로,일본,2006-08-10,"애니메이션, 판타지, 어드벤처",195043,1165889700
신데렐라,봉만대,한국,2006-08-17,공포(호러),514903,3087439700
마이애미 바이스,마이클 만,미국,2006-08-17,액션,382194,2459541500
"사랑하니까, 괜찮아",곽지균,한국,2006-08-17,"멜로/로맨스, 드라마",144989,859524300
